PurchaseNo|PurchaseKey|Department|Date|PuchaseOrderType|PurchaseHeader|StatusCode|RaisedBy|ArrpovedBy|ApproveDate
3143|AWh11l8JX1|CSR      |11-10-2013|Contract|BFUEQNi|301|James.Jackson@snox.com      |Madison.Ulysses@snox.com    |05-02-2013
7218|tF2NIfPLlY|Network  |10-02-2013|Standard|iB0ocfz|409|George.Buchanan@snox.com    |Hayes.Lyndon@snox.com       |01-07-2013
7189|UVTdwJAGWw|CSR      |06-10-2013|Blanket |YQAVkfF|200|Calvin.McKinley@snox.com    |Pierce.Herbert@snox.com     |25-01-2013
3590|2413dDpJ1B|Network  |05-04-2013|Standard|SxpTMM1|404|Ulysses.Jefferson@snox.com  |Quincy.Franklin@snox.com    |07-03-2013
7194|S3Kx6lATJT|Network  |06-09-2013|Standard|Rj2k9I7|403|William.Jefferson@snox.com  |Cleveland.Franklin@snox.com |23-03-2013
4682|TOvOWj7s9x|Network  |21-04-2013|Standard|qU3vSvd|409|Bill.Nixon@snox.com         |Jackson.Dwight@snox.com     |15-06-2013
7370|GE3Xl8hW1v|Network  |13-09-2013|Blanket |0nissc0|400|Woodrow.Cleveland@snox.com  |Hoover.Ronald@snox.com      |16-10-2013
9298|ZrhJgKhEtF|CSR      |06-09-2013|Planned |iGlXZdb|403|Herbert.Garfield@snox.com   |Nixon.Ronald@snox.com       |06-05-2013
5007|wNAwoA7JGx|Network  |10-10-2013|Planned |Pl6ymev|409|Dwight.Jefferson@snox.com   |McKinley.Chester@snox.com   |23-07-2013
7610|gVeY7MUon8|Network  |03-01-2013|Contract|3wyIwAD|409|Thomas.Quincy@snox.com      |Reagan.Herbert@snox.com     |09-08-2013
8616|bjCEp28ERc|Network  |04-04-2013|Contract|IKEfdSL|404|Andrew.Johnson@snox.com     |Van Buren.Woodrow@snox.com  |01-07-2013
2398|9oiiUMNVua|Network  |04-01-2013|Blanket |vKh85Z0|403|Gerald.Harrison@snox.com    |Monroe.Calvin@snox.com      |29-05-2013
8723|TEmQLmoo4f|CSR      |27-03-2013|Blanket |HrEeJrn|301|Ronald.Eisenhower@snox.com  |Johnson.Bill@snox.com       |03-09-2013
3559|byenmz7I3y|Network  |19-09-2013|Standard|RN5Lb9v|301|Millard.Arthur@snox.com     |Quincy.Warren@snox.com      |21-10-2013
8383|9xv6MSZfya|CSR      |21-06-2013|Planned |gHKvwCZ|404|Benjamin.Roosevelt@snox.com |Jefferson.Bill@snox.com     |27-10-2013
8578|dRcduws9xX|CSR      |22-03-2013|Blanket |ccjFEwc|200|Rutherford.Taylor@snox.com  |Harding.Franklin@snox.com   |23-09-2013
1439|vn1QrsngSW|CSR      |21-05-2013|Contract|4k5zVwf|403|Richard.Van Buren@snox.com  |Hayes.Grover@snox.com       |02-06-2013
8590|Q1Lo3Q5WWd|Network  |23-10-2013|Planned |GdJUeIg|409|George.Roosevelt@snox.com   |Cleveland.Harry@snox.com    |01-10-2013
7476|1w4mFvjE77|CSR      |20-06-2013|Standard|9dXXdHY|400|Calvin.Coolidge@snox.com    |Coolidge.Andrew@snox.com    |29-06-2013
1465|tDCRtci6GS|Network  |08-08-2013|Planned |QW7k3Z6|409|Benjamin.Tyler@snox.com     |Ford.Herbert@snox.com       |25-07-2013
3599|wdWtbrbVau|Network  |19-01-2013|Blanket |v2KUV3k|404|Woodrow.Jefferson@snox.com  |Fillmore.Gerald@snox.com    |04-05-2013
5149|m3ecrhUPKB|Network  |15-09-2013|Blanket |x6ICOU3|200|Rutherford.Harding@snox.com |Johnson.Herbert@snox.com    |12-02-2013
2049|U0BYPa1G7Y|CSR      |20-05-2013|Planned |6tbsxER|404|Herbert.Carter@snox.com     |Adams.Chester@snox.com      |12-08-2013
5596|2PulWgiS4Y|CSR      |13-04-2013|Planned |YiH6duJ|404|Grover.Garfield@snox.com    |Lincoln.James@snox.com      |02-08-2013
4089|tsT2aoB9Qu|Network  |17-08-2013|Blanket |yMmZo7D|401|Theodore.Buchanan@snox.com  |Hayes.Herbert@snox.com      |22-06-2013
3086|1qCHdzPVPr|Network  |31-07-2013|Blanket |2LDan09|301|Franklin.Kennedy@snox.com   |Ford.Franklin@snox.com      |06-01-2013
5676|kVbuOsBL14|CSR      |26-03-2013|Planned |XZhzfyE|404|Theodore.Harding@snox.com   |Clinton.Harry@snox.com      |29-03-2013
4514|dB3aVufDIf|Network  |14-01-2013|Blanket |e13YzWt|404|Franklin.Coolidge@snox.com  |Reagan.Herbert@snox.com     |16-10-2013
6868|eCmG5bq8ZW|Network  |12-03-2013|Blanket |qPDhqfB|409|Grover.Johnson@snox.com     |Lincoln.Franklin@snox.com   |06-08-2013
8300|H8v2QEhIZF|Network  |31-05-2013|Planned |PxHFEf3|409|Harry.Adams@snox.com        |Cleveland.Rutherford@snox.co|15-03-2013
7643|8zwwh9YuNY|Network  |30-04-2013|Standard|qwm2AEs|401|Andrew.Coolidge@snox.com    |Adams.Herbert@snox.com      |14-04-2013
4983|iT1FxuEphg|Network  |23-09-2013|Planned |AFsLoVt|404|Gerald.Carter@snox.com      |Eisenhower.Lyndon@snox.com  |07-01-2013
3861|zUVwxCXW7W|CSR      |08-10-2013|Blanket |fue3RrU|401|Rutherford.Jackson@snox.com |Harding.Bill@snox.com       |02-05-2013
