PurchaseNo;PurchaseKey;Department;Date;PuchaseOrderType;PurchaseHeader;StatusCode;RaisedBy;ArrpovedBy;ApproveDate
1960                ;jBwtmCKTZR;Warehouse;28-09-2013;Contract;82apbVU;400;Chester.Hoover@snox.com     ;Pierce.Harry@snox.com       ;17-08-2013
3143                ;AWh11l8JX1;CSR      ;11-10-2013;Contract;BFUEQNi;301;James.Jackson@snox.com      ;Madison.Ulysses@snox.com    ;05-02-2013
7509                ;glhLYlu1CM;IT       ;01-10-2013;Blanket ;1ZEzZre;401;Richard.Johnson@snox.com    ;Monroe.Benjamin@snox.com    ;30-04-2013
4224                ;igkUClGjL9;Marketing;08-05-2013;Contract;t53m4N0;404;Thomas.McKinley@snox.com    ;Arthur.Rutherford@snox.com  ;10-05-2013
5027                ;mqqpRgDG4s;IT       ;18-04-2013;Standard;hQYYl0d;200;John.Grant@snox.com         ;Roosevelt.Harry@snox.com    ;20-03-2013
2291                ;LbhVc7xCWB;Warehouse;21-09-2013;Planned ;gtehGmk;301;Calvin.Van Buren@snox.com   ;Washington.Dwight@snox.com  ;13-08-2013
7218                ;tF2NIfPLlY;Network  ;10-02-2013;Standard;iB0ocfz;409;George.Buchanan@snox.com    ;Hayes.Lyndon@snox.com       ;01-07-2013
7189                ;UVTdwJAGWw;CSR      ;06-10-2013;Blanket ;YQAVkfF;200;Calvin.McKinley@snox.com    ;Pierce.Herbert@snox.com     ;25-01-2013
8542                ;lS5W7tdm9F;Warehouse;05-05-2013;Planned ;zVqS0wt;404;Chester.Hayes@snox.com      ;Madison.Franklin@snox.com   ;25-07-2013
2339                ;itUSJhweqn;Audit    ;18-02-2013;Planned ;lPzV3lT;301;Grover.Wilson@snox.com      ;Lincoln.Harry@snox.com      ;28-02-2013
2517                ;AH2QwzWX3J;IT       ;21-01-2013;Contract;drLSPpH;404;Ronald.Van Buren@snox.com   ;McKinley.Franklin@snox.com  ;18-08-2013
7805                ;eqCxxnrk7e;IT       ;27-07-2013;Standard;ho1WQwz;403;Chester.Adams@snox.com      ;Garfield.Ulysses@snox.com   ;03-01-2013
2836                ;UuQP9rwwEb;HR       ;14-07-2013;Planned ;w6ZIxsb;404;Theodore.Wilson@snox.com    ;Truman.Grover@snox.com      ;09-01-2013
7805                ;jOU7Z47w3U;Audit    ;12-01-2013;Planned ;KvRbZKK;301;Franklin.Ford@snox.com      ;Reagan.George@snox.com      ;09-04-2013
3590                ;2413dDpJ1B;Network  ;05-04-2013;Standard;SxpTMM1;404;Ulysses.Jefferson@snox.com  ;Quincy.Franklin@snox.com    ;07-03-2013
7657                ;tZ5KpSeS8Y;Marketing;05-09-2013;Planned ;cNq7Kaf;400;Millard.Wilson@snox.com     ;Van Buren.Ulysses@snox.com  ;19-09-2013
7194                ;S3Kx6lATJT;Network  ;06-09-2013;Standard;Rj2k9I7;403;William.Jefferson@snox.com  ;Cleveland.Franklin@snox.com ;23-03-2013
7992                ;G6gxoppuGs;Marketing;02-02-2013;Contract;QM6ZqZg;200;John.Polk@snox.com          ;Pierce.Ronald@snox.com      ;11-06-2013
3222                ;gOeFj1jV2f;Warehouse;02-08-2013;Planned ;MMDLXYp;401;Abraham.Coolidge@snox.com   ;Roosevelt.James@snox.com    ;09-03-2013
2438                ;qFGMyWLOQv;Finance  ;11-10-2013;Standard;aXqnclU;404;John.Johnson@snox.com       ;Pierce.Benjamin@snox.com    ;16-07-2013
4682                ;TOvOWj7s9x;Network  ;21-04-2013;Standard;qU3vSvd;409;Bill.Nixon@snox.com         ;Jackson.Dwight@snox.com     ;15-06-2013
7370                ;GE3Xl8hW1v;Network  ;13-09-2013;Blanket ;0nissc0;400;Woodrow.Cleveland@snox.com  ;Hoover.Ronald@snox.com      ;16-10-2013
8184                ;Q4z6poPmqQ;Sales    ;04-02-2013;Blanket ;rZklCX0;301;Benjamin.Wilson@snox.com    ;Ford.Franklin@snox.com      ;09-02-2013
9298                ;ZrhJgKhEtF;CSR      ;06-09-2013;Planned ;iGlXZdb;403;Herbert.Garfield@snox.com   ;Nixon.Ronald@snox.com       ;06-05-2013
5007                ;wNAwoA7JGx;Network  ;10-10-2013;Planned ;Pl6ymev;409;Dwight.Jefferson@snox.com   ;McKinley.Chester@snox.com   ;23-07-2013
